lau_id,commune,canton,year,population,area_km2,pop_density,employment_rate,unemployment_rate,income_index,foreign_pop_pct,cross_border_workers,degurba,unemp_z,income_z,emp_z,forpop_z,nat_bond_conc,nat_credit_shr,nat_fiscal_bal,nat_gdp_bn,nat_stress_score,nat_total_assets,nat_num_banks,commune_revenue_eur_m,commune_expenditure_eur_m,commune_balance_eur_m,commune_debt_per_capita,bank_commune_credit_eur_m,bank_exposure_hhi,fiscal_distress_proxy,label_source,data_vintage
1201,Bous,Remich,2021,1282,12.84,99.84,62.1,5.4,95,38.4,8,3,0.075,-0.147,-0.298,-0.208,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0501,Clervaux,Clervaux,2021,2542,30.94,82.16,60.1,5.9,85,28.4,14,3,0.813,-0.943,-1.249,-1.145,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0401,Colmar-Berg,Mersch,2021,1982,10.24,193.55,62.3,5.2,98,34.6,12,3,-0.22,0.092,-0.202,-0.564,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1004,Consdorf,Echternach,2021,1482,23.14,64.04,62.0,5.4,93,32.8,8,3,0.075,-0.306,-0.345,-0.732,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0302,Contern,Luxembourg,2021,4621,19.36,238.69,63.1,4.3,117,44.6,18,2,-1.548,1.606,0.178,0.373,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1202,Dalheim,Remich,2021,2082,19.14,108.78,62.4,5.3,97,40.2,13,3,-0.072,0.012,-0.155,-0.039,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0603,Diekirch,Diekirch,2021,7024,11.24,624.91,62.4,5.4,95,36.2,52,2,0.075,-0.147,-0.155,-0.414,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0202,Differdange,Esch-sur-Alzette,2021,27090,21.04,1287.55,64.2,6.1,86,64.8,520,1,1.109,-0.864,0.702,2.265,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0101,Dippach,Capellen,2021,4821,19.42,248.25,64.8,4.7,110,48.2,38,2,-0.958,1.048,0.987,0.71,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0203,Dudelange,Esch-sur-Alzette,2021,21458,21.44,1000.84,63.5,6.4,84,61.3,380,1,1.551,-1.023,0.369,1.937,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1005,Echternach,Echternach,2021,5782,19.44,297.43,62.3,5.3,96,38.4,34,2,-0.072,-0.067,-0.202,-0.208,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0703,Ell,Redange,2021,1482,28.42,52.15,60.8,5.9,87,34.4,8,3,0.813,-0.784,-0.916,-0.583,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0604,Erpeldange-sur-Sûre,Diekirch,2021,2941,29.41,100.0,62.2,5.5,93,34.8,18,3,0.223,-0.306,-0.25,-0.545,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0204,Esch-sur-Alzette,Esch-sur-Alzette,2021,36024,14.33,2513.89,65.8,5.9,89,60.4,680,1,0.813,-0.625,1.463,1.853,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0802,Esch-sur-Sûre,Wiltz,2021,1282,42.14,30.42,60.2,6.2,81,26.8,6,3,1.256,-1.262,-1.202,-1.295,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0605,Ettelbruck,Diekirch,2021,11082,17.84,621.19,63.1,5.2,98,39.4,82,2,-0.22,0.092,0.178,-0.114,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0606,Feulen,Diekirch,2021,1782,24.82,71.8,61.4,5.5,91,31.2,10,3,0.223,-0.465,-0.631,-0.882,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0404,Fischbach,Mersch,2021,1682,42.14,39.91,62.1,5.2,99,36.2,10,3,-0.22,0.172,-0.298,-0.414,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1103,Flaxweiler,Grevenmacher,2021,2182,17.84,122.31,62.8,5.2,98,40.8,14,3,-0.22,0.092,0.035,0.017,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0205,Frisange,Esch-sur-Alzette,2021,4182,21.34,195.97,63.8,5.4,98,48.4,58,2,0.075,0.092,0.511,0.729,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0102,Garnich,Capellen,2021,1902,18.51,102.76,62.4,4.9,104,39.8,12,3,-0.663,0.57,-0.155,-0.077,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0804,Goesdorf,Wiltz,2021,882,27.84,31.68,59.8,6.3,80,25.4,4,3,1.404,-1.342,-1.392,-1.426,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1104,Grevenmacher,Grevenmacher,2021,4582,19.82,231.18,62.8,5.2,98,41.2,30,2,-0.22,0.092,0.035,0.054,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0705,Grosbous,Redange,2021,982,16.84,58.31,60.4,6.1,85,32.8,5,3,1.109,-0.943,-1.107,-0.732,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0103,Habscht,Capellen,2021,2892,28.14,102.77,62.9,4.9,104,40.1,16,3,-0.663,0.57,0.083,-0.049,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0405,Heffingen,Mersch,2021,1482,34.82,42.56,61.8,5.4,97,34.8,8,3,0.075,0.012,-0.44,-0.545,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0403,Helperknapp,Mersch,2021,2382,31.24,76.25,62.4,5.1,101,37.4,14,3,-0.368,0.331,-0.155,-0.302,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0303,Hesperange,Luxembourg,2021,16421,29.84,550.3,68.1,3.8,128,53.1,120,2,-2.286,2.482,2.557,1.169,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1105,Junglinster,Grevenmacher,2021,6482,52.14,124.32,63.4,5.0,101,43.8,44,2,-0.515,0.331,0.321,0.298,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0206,Kayl,Esch-sur-Alzette,2021,11342,11.37,997.54,63.9,6.0,88,58.1,180,2,0.961,-0.704,0.559,1.637,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0105,Kehlen,Capellen,2021,4318,22.36,193.11,64.1,4.6,108,43.5,32,2,-1.106,0.889,0.654,0.27,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0805,Kiischpelt,Wiltz,2021,782,52.14,15.0,59.2,6.5,78,24.8,3,3,1.699,-1.501,-1.677,-1.482,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0106,Koerich,Capellen,2021,2041,19.83,102.92,62.7,5.0,102,40.2,13,3,-0.515,0.411,-0.012,-0.039,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0107,Kopstal,Capellen,2021,3981,12.22,325.78,63.5,4.1,116,46.1,14,2,-1.844,1.526,0.369,0.513,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0104,Käerjeng,Capellen,2021,8124,24.82,327.32,65.2,5.0,107,46.2,68,2,-0.515,0.809,1.177,0.523,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0806,Lac de la Haute-Sûre,Wiltz,2021,1682,56.84,29.59,60.4,6.2,82,27.2,8,3,1.256,-1.182,-1.107,-1.257,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0406,Larochette,Mersch,2021,2282,18.24,125.11,63.2,4.9,103,42.1,16,3,-0.663,0.49,0.226,0.139,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1203,Lenningen,Remich,2021,1682,22.14,75.97,62.2,5.4,96,38.8,10,3,0.075,-0.067,-0.25,-0.17,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0207,Leudelange,Esch-sur-Alzette,2021,3821,8.24,463.71,66.4,4.2,112,54.2,42,2,-1.696,1.207,1.748,1.272,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0407,Lintgen,Mersch,2021,3282,19.48,168.48,63.1,4.9,103,38.4,22,3,-0.663,0.49,0.178,-0.208,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0408,Lorentzweiler,Mersch,2021,3982,21.58,184.52,64.2,4.7,107,41.2,28,2,-0.958,0.809,0.702,0.054,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0304,Luxembourg,Luxembourg,2021,125297,51.73,2422.13,72.4,4.2,142,71.2,3200,1,-1.696,3.597,4.603,2.865,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0108,Mamer,Capellen,2021,10249,15.44,663.8,66.3,4.4,113,52.8,95,2,-1.401,1.287,1.701,1.141,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1106,Manternach,Grevenmacher,2021,1882,20.14,93.45,62.2,5.4,96,38.2,11,3,0.075,-0.067,-0.25,-0.227,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0409,Mersch,Mersch,2021,9082,63.79,142.37,63.7,4.8,105,42.1,72,2,-0.81,0.65,0.464,0.139,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1107,Mertert,Grevenmacher,2021,4182,21.34,195.97,62.2,5.4,96,38.6,26,3,0.075,-0.067,-0.25,-0.189,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0607,Mertzig,Diekirch,2021,2082,22.14,94.04,61.8,5.4,93,32.8,12,3,0.075,-0.306,-0.44,-0.732,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0208,Mondercange,Esch-sur-Alzette,2021,9981,9.17,1088.44,64.6,5.9,89,55.2,150,2,0.813,-0.625,0.892,1.366,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1204,Mondorf-les-Bains,Remich,2021,5782,17.36,333.06,63.2,5.1,102,45.4,40,2,-0.368,0.411,0.226,0.448,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0305,Niederanven,Luxembourg,2021,8294,29.96,276.84,65.3,4.1,124,51.2,30,2,-1.844,2.163,1.225,0.991,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0410,Nommern,Mersch,2021,1382,27.42,50.4,61.6,5.3,96,33.8,7,3,-0.072,-0.067,-0.536,-0.639,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0503,Parc Hosingen,Clervaux,2021,2382,92.42,25.77,60.8,5.8,87,29.8,12,3,0.666,-0.784,-0.916,-1.013,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0702,Preizerdaul,Redange,2021,1682,38.42,43.78,61.2,5.8,88,34.8,9,3,0.666,-0.704,-0.726,-0.545,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0902,Putscheid,Vianden,2021,682,32.84,20.77,60.4,5.8,86,26.2,3,3,0.666,-0.864,-1.107,-1.351,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0209,Pétange,Esch-sur-Alzette,2021,21089,17.88,1179.47,63.1,6.8,82,67.2,350,1,2.142,-1.182,0.178,2.49,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0704,Rambrouch,Redange,2021,2182,50.24,43.43,61.4,5.7,89,35.4,12,3,0.518,-0.625,-0.631,-0.489,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0210,Reckange-sur-Mess,Esch-sur-Alzette,2021,3482,12.84,271.18,64.1,5.5,94,50.2,42,2,0.223,-0.226,0.654,0.897,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0706,Redange-sur-Attert,Redange,2021,3782,27.14,139.35,61.3,5.6,90,37.2,22,3,0.37,-0.545,-0.678,-0.32,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0608,Reisdorf,Diekirch,2021,1482,19.84,74.7,61.2,5.6,90,30.4,8,3,0.37,-0.545,-0.726,-0.957,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1205,Remich,Remich,2021,4082,14.42,283.08,62.1,5.5,97,40.1,26,2,0.223,0.012,-0.298,-0.049,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0211,Roeser,Esch-sur-Alzette,2021,7812,24.78,315.25,63.4,5.6,93,50.3,110,2,0.37,-0.306,0.321,0.907,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1006,Rosport - Mompach,Echternach,2021,2282,32.84,69.49,62.2,5.3,95,35.2,14,3,-0.072,-0.147,-0.25,-0.508,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0212,Rumelange,Esch-sur-Alzette,2021,5482,8.42,651.07,63.4,6.3,85,62.4,82,2,1.404,-0.943,0.321,2.04,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0707,Saeul,Redange,2021,1082,19.84,54.54,60.6,6.0,86,33.1,5,3,0.961,-0.864,-1.011,-0.704,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0306,Sandweiler,Luxembourg,2021,5382,12.01,448.13,64.7,4.0,120,47.8,22,2,-1.991,1.845,0.94,0.673,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0213,Sanem,Esch-sur-Alzette,2021,17928,21.92,817.88,64.8,5.8,90,57.4,290,2,0.666,-0.545,0.987,1.572,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1206,Schengen,Remich,2021,2182,21.84,99.91,62.4,5.3,99,39.2,14,3,-0.072,0.172,-0.155,-0.133,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0609,Schieren,Diekirch,2021,2482,12.84,193.3,62.2,5.3,95,33.2,14,3,-0.072,-0.147,-0.25,-0.695,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0214,Schifflange,Esch-sur-Alzette,2021,10084,11.29,893.18,63.2,6.2,87,60.9,160,2,1.256,-0.784,0.226,1.9,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0307,Schuttrange,Luxembourg,2021,4182,28.42,147.15,65.2,4.1,122,52.4,28,2,-1.844,2.004,1.177,1.103,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1207,Stadtbredimus,Remich,2021,1882,18.84,99.89,62.6,5.2,98,41.4,12,3,-0.22,0.092,-0.06,0.073,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0110,Steinfort,Capellen,2021,6012,18.24,329.61,63.8,5.2,99,46.1,48,2,-0.22,0.172,0.511,0.513,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0308,Steinsel,Luxembourg,2021,5186,11.64,445.53,64.2,4.0,119,48.2,20,2,-1.991,1.765,0.702,0.71,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0309,Strassen,Luxembourg,2021,11682,7.49,1559.68,69.2,3.6,129,61.7,60,2,-2.582,2.562,3.081,1.975,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0901,Tandel,Vianden,2021,1082,38.14,28.37,61.2,5.6,88,27.4,5,3,0.37,-0.704,-0.726,-1.238,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0504,Troisvierges,Clervaux,2021,4284,49.28,86.93,61.2,5.7,87,31.2,22,3,0.518,-0.784,-0.726,-0.882,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0708,Useldange,Redange,2021,1582,27.82,56.87,60.8,5.8,88,34.1,9,3,0.666,-0.704,-0.916,-0.611,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0610,Vallée de l'Ernz,Diekirch,2021,2182,36.42,59.91,61.4,5.6,91,30.8,11,3,0.37,-0.465,-0.631,-0.92,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0903,Vianden,Vianden,2021,1982,9.76,203.07,61.8,5.5,91,30.4,10,3,0.223,-0.465,-0.44,-0.957,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0709,Vichten,Redange,2021,1382,24.42,56.59,61.0,5.9,87,33.8,7,3,0.813,-0.784,-0.821,-0.639,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0710,Wahl,Redange,2021,1082,21.84,49.54,60.4,6.1,85,32.4,5,3,1.109,-0.943,-1.107,-0.77,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1008,Waldbillig,Echternach,2021,982,34.82,28.2,61.4,5.6,91,29.8,5,3,0.37,-0.465,-0.631,-1.013,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1208,Waldbredimus,Remich,2021,1382,15.24,90.68,62.0,5.5,95,37.8,8,3,0.223,-0.147,-0.345,-0.264,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0310,Walferdange,Luxembourg,2021,10418,14.12,737.82,66.8,3.9,121,49.3,45,2,-2.139,1.924,1.939,0.813,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0311,Weiler-la-Tour,Luxembourg,2021,2982,22.14,134.69,64.4,4.4,118,50.1,18,2,-1.401,1.685,0.797,0.888,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0505,Weiswampach,Clervaux,2021,2082,30.24,68.85,60.4,6.0,84,27.4,10,3,0.961,-1.023,-1.107,-1.238,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0807,Wiltz,Wiltz,2021,5284,28.52,185.27,60.4,6.1,83,32.8,30,3,1.109,-1.103,-1.107,-0.732,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0502,Wincrange,Clervaux,2021,4921,78.15,62.97,60.8,5.8,86,29.7,24,3,0.666,-0.864,-0.916,-1.023,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
0808,Winseler,Wiltz,2021,1482,52.38,28.29,59.8,6.3,80,27.1,7,3,1.404,-1.342,-1.392,-1.266,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,1,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
1108,Wormeldange,Grevenmacher,2021,1782,17.42,102.3,62.4,5.3,97,40.4,11,3,-0.072,0.012,-0.155,-0.021,6.109,10.159,1.8,70.1,0.4137,956,126,,,,,,,0,proxy-socioeconomic-2021,STATEC-LUSTAT-2021
